order_id,user_id,order_timestamp,order_status,order_total_amount_before_discount,order_total_discount_amount,order_shipping_fee,order_final_total_amount,payment_method_used,payment_status,shipping_address_city,shipping_address_country,shipping_address_zipcode,estimated_delivery_date,actual_delivery_date,promo_code_used,session_id_of_order
ORD013,U00022,2023-07-13 17:05:40,Delivered,45500.00,4400.00,0.00,41100.00,CreditCard_Visa,Paid,Kuala Lumpur,Malaysia,50000,2023-07-18,2023-07-17,TECHDEAL,SESS_ORD_013
ORD014,U00033,2023-07-14 11:15:00,Processing,390.00,60.00,30.00,360.00,COD,Unpaid,Bangkok,Thailand,10330,2023-07-19,NULL,NULL,SESS_ORD_014
ORD015,U00001,2023-07-15 19:20:30,Delivered,4420.00,600.00,30.00,3850.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10110,2023-07-18,2023-07-17,NULL,SESS_ORD_015
ORD016,U00044,2023-07-16 07:50:00,Cancelled,890.00,0.00,30.00,920.00,CreditCard_Visa,Refunded,Ho Chi Minh City,Vietnam,700000,2023-07-20,NULL,NULL,SESS_ORD_016
ORD017,U00055,2023-07-17 14:00:25,Delivered,1650.00,0.00,50.00,1700.00,BankTransfer_KBANK,Paid,Bangkok,Thailand,10600,2023-07-21,2023-07-20,NULL,SESS_ORD_017
ORD018,U00019,2023-07-18 10:30:10,Shipped,420.00,60.00,30.00,390.00,COD,Paid,Bangkok,Thailand,10310,2023-07-22,NULL,NULL,SESS_ORD_018
ORD019,U00062,2023-07-19 12:45:50,Delivered,450.00,100.00,30.00,380.00,EWallet_PromptPay,Paid,Lampang,Thailand,52000,2023-07-23,2023-07-22,NULL,SESS_ORD_019
ORD020,U00007,2023-07-20 15:00:00,Delivered,1350.00,150.00,30.00,1230.00,CreditCard_Visa,Paid,Bangkok,Thailand,10200,2023-07-23,2023-07-22,SAVE10,SESS_ORD_020
ORD021,U00078,2023-07-21 08:20:40,Shipped,950.00,0.00,0.00,950.00,BankTransfer_KBANK,Paid,Bangkok,Thailand,10700,2023-07-25,NULL,FREESHIPJULY,SESS_ORD_021
ORD022,U00003,2023-07-22 11:35:15,Processing,350.00,50.00,30.00,330.00,EWallet_PromptPay,Paid,Nonthaburi,Thailand,11000,2023-07-26,NULL,NULL,SESS_ORD_022
ORD023,U00091,2023-07-23 16:50:00,Delivered,1800.00,400.00,30.00,1430.00,CreditCard_Visa,Paid,Surat Thani,Thailand,84000,2023-07-27,2023-07-26,NULL,SESS_ORD_023
ORD024,U00015,2023-07-24 10:00:20,Pending_Payment,1290.00,210.00,30.00,1110.00,COD,Unpaid,Bangkok,Thailand,10110,2023-07-28,NULL,NULL,SESS_ORD_024
ORD025,U00029,2023-07-25 13:10:30,Delivered,750.00,0.00,30.00,780.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10400,2023-07-28,2023-07-27,NULL,SESS_ORD_025
ORD026,U00001,2023-08-01 09:00:00,Shipped,650.00,100.00,30.00,580.00,CreditCard_Visa,Paid,Bangkok,Thailand,10110,2023-08-04,NULL,NULL,SESS_ORD_026
ORD027,U00030,2023-08-02 11:25:00,Delivered,3800.00,700.00,0.00,3100.00,BankTransfer_KBANK,Paid,Phitsanulok,Thailand,65000,2023-08-06,2023-08-05,CAMERADEAL,SESS_ORD_027
ORD028,U00052,2023-08-03 14:50:10,Processing,25990.00,2000.00,50.00,24040.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10120,2023-08-07,NULL,NULL,SESS_ORD_028
ORD029,U00069,2023-08-04 17:00:45,Delivered,1890.00,360.00,30.00,1560.00,CreditCard_Visa,Paid,Bangkok,Thailand,10500,2023-08-08,2023-08-07,PETLOVE15,SESS_ORD_029
ORD030,U00007,2023-08-05 10:10:30,Delivered,450.00,0.00,30.00,480.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10200,2023-08-08,2023-08-07,NULL,SESS_ORD_030
ORD031,U00012,2023-08-06 12:30:00,Returned,899.00,0.00,30.00,929.00,CreditCard_Visa,Refunded,Samut Prakan,Thailand,10270,2023-08-10,2023-08-09,NULL,SESS_ORD_031
ORD032,U00025,2023-08-07 15:00:50,Delivered,1200.00,300.00,0.00,900.00,BankTransfer_KBANK,Paid,Rayong,Thailand,21000,2023-08-11,2023-08-10,FREESHIPAUG,SESS_ORD_032
ORD033,U00041,2023-08-08 09:45:20,Processing,380.00,70.00,30.00,340.00,COD,Unpaid,Chonburi,Thailand,20000,2023-08-12,NULL,NULL,SESS_ORD_033
ORD034,U00058,2023-08-09 18:00:00,Delivered,2800.00,400.00,30.00,2430.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10120,2023-08-12,2023-08-11,NULL,SESS_ORD_034
ORD035,U00003,2023-08-10 11:10:40,Shipped,990.00,210.00,30.00,810.00,CreditCard_Visa,Paid,Nonthaburi,Thailand,11000,2023-08-14,NULL,NULL,SESS_ORD_035
ORD036,U00019,2023-08-11 13:25:10,Delivered,320.00,0.00,30.00,350.00,BankTransfer_KBANK,Paid,Bangkok,Thailand,10310,2023-08-14,2023-08-13,NULL,SESS_ORD_036
ORD037,U00070,2023-08-12 16:40:00,Delivered,490.00,110.00,30.00,410.00,COD,Paid,Chachoengsao,Thailand,24000,2023-08-16,2023-08-15,NULL,SESS_ORD_037
ORD038,U00088,2023-08-13 10:55:30,Shipped,1800.00,400.00,50.00,1450.00,EWallet_PromptPay,Paid,Nakhon Ratchasima,Thailand,30000,2023-08-18,NULL,GETOUTDOORS,SESS_ORD_038
ORD039,U00001,2023-08-14 08:15:00,Processing,250.00,0.00,30.00,280.00,CreditCard_Visa,Paid,Bangkok,Thailand,10110,2023-08-17,NULL,NULL,SESS_ORD_039
ORD040,U00029,2023-08-15 19:30:25,Delivered,4250.00,700.00,0.00,3550.00,BankTransfer_KBANK,Paid,Bangkok,Thailand,10400,2023-08-18,2023-08-17,FURNITURE20,SESS_ORD_040
ORD041,U00099,2023-08-16 11:50:40,Pending_Payment,420.00,60.00,30.00,390.00,COD,Unpaid,Bangkok,Thailand,10110,2023-08-20,NULL,NULL,SESS_ORD_041
ORD042,U00007,2023-08-17 14:05:00,Delivered,1970.00,0.00,30.00,2000.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10200,2023-08-20,2023-08-19,NULL,SESS_ORD_042
ORD043,U00014,2023-08-18 10:20:15,Delivered,550.00,100.00,30.00,480.00,CreditCard_Visa,Paid,Surat Thani,Thailand,84000,2023-08-22,2023-08-21,NULL,SESS_ORD_043
ORD044,U00036,2023-08-19 17:35:30,Shipped,899.00,0.00,30.00,929.00,BankTransfer_KBANK,Paid,Songkhla,Thailand,90110,2023-08-24,NULL,NULL,SESS_ORD_044
ORD045,U00051,2023-08-20 09:50:00,Delivered,750.00,0.00,30.00,780.00,EWallet_PromptPay,Paid,Manila,Philippines,1004,2023-08-25,2023-08-24,NULL,SESS_ORD_045
ORD046,U00069,2023-08-21 12:00:20,Processing,380.00,70.00,30.00,340.00,COD,Unpaid,Bangkok,Thailand,10500,2023-08-25,NULL,NULL,SESS_ORD_046
ORD047,U00001,2023-08-22 15:15:45,Delivered,1210.00,170.00,30.00,1070.00,CreditCard_Visa,Paid,Bangkok,Thailand,10110,2023-08-25,2023-08-24,SAVE10AUG,SESS_ORD_047
ORD048,U00020,2023-08-23 18:30:00,Pending_Payment,1390.00,210.00,30.00,1210.00,BankTransfer_KBANK,Unpaid,Hat Yai,Thailand,90110,2023-08-28,NULL,NULL,SESS_ORD_048
ORD049,U00041,2023-08-24 10:40:50,Delivered,4850.00,700.00,0.00,4150.00,EWallet_PromptPay,Paid,Chonburi,Thailand,20000,2023-08-28,2023-08-27,INSTAPOTDEAL,SESS_ORD_049
ORD050,U00077,2023-08-25 13:55:10,Shipped,3800.00,700.00,50.00,3150.00,CreditCard_Visa,Paid,Chiang Mai,Thailand,50200,2023-08-30,NULL,NULL,SESS_ORD_050
ORD051,U00001,2023-09-01 10:30:00,Delivered,1990.00,270.00,30.00,1750.00,CreditCard_Visa,Paid,Bangkok,Thailand,10110,2023-09-04,2023-09-03,SEPTSALE5,SESS_ORD_051
ORD052,U00003,2023-09-01 14:45:10,Shipped,1910.00,210.00,30.00,1730.00,BankTransfer_KBANK,Paid,Nonthaburi,Thailand,11000,2023-09-05,NULL,NULL,SESS_ORD_052
ORD053,U00007,2023-09-02 09:15:30,Processing,35480.00,3360.00,0.00,32120.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10200,2023-09-06,NULL,BIGSPENDER,SESS_ORD_053
ORD054,U00010,2023-09-02 11:50:00,Delivered,4030.00,470.00,50.00,3610.00,COD,Paid,Nakhon Ratchasima,Thailand,30000,2023-09-07,2023-09-06,NULL,SESS_ORD_054
ORD055,U00029,2023-09-03 16:00:45,Shipped,5010.00,620.00,30.00,4420.00,CreditCard_Visa,Paid,Bangkok,Thailand,10400,2023-09-07,NULL,NULL,SESS_ORD_055
ORD056,U00041,2023-09-03 18:20:00,Delivered,31240.00,2710.00,0.00,28530.00,BankTransfer_KBANK,Paid,Chonburi,Thailand,20000,2023-09-07,2023-09-06,FREESHIPSEP,SESS_ORD_056
ORD057,U00051,2023-09-04 10:05:15,Processing,4000.00,370.00,30.00,3660.00,CreditCard_Visa,Paid,Manila,Philippines,1004,2023-09-09,NULL,NULL,SESS_ORD_057
ORD058,U00060,2023-09-04 13:30:50,Delivered,5090.00,710.00,50.00,4430.00,EWallet_PromptPay,Paid,Phnom Penh,Cambodia,12000,2023-09-10,2023-09-09,STYLEUP,SESS_ORD_058
ORD059,U00069,2023-09-05 09:55:20,Shipped,2830.00,370.00,30.00,2490.00,COD,Paid,Bangkok,Thailand,10500,2023-09-09,NULL,PETDEAL,SESS_ORD_059
ORD060,U00075,2023-09-05 15:10:00,Delivered,3690.00,630.00,0.00,3060.00,BankTransfer_KBANK,Paid,Rayong,Thailand,21000,2023-09-09,2023-09-08,FITNESSFIRST,SESS_ORD_060
ORD061,U00001,2023-09-06 11:00:30,Processing,1420.00,60.00,30.00,1390.00,CreditCard_Visa,Paid,Bangkok,Thailand,10110,2023-09-09,NULL,NULL,SESS_ORD_061
ORD062,U00080,2023-09-06 14:25:00,Delivered,5470.00,1030.00,50.00,4490.00,EWallet_PromptPay,Paid,Bandung,Indonesia,40111,2023-09-12,2023-09-11,NULL,SESS_ORD_062
ORD063,U00090,2023-09-07 10:40:40,Shipped,2610.00,260.00,30.00,2380.00,COD,Paid,Khon Kaen,Thailand,40000,2023-09-12,NULL,FASHIONISTA,SESS_ORD_063
ORD064,U00007,2023-09-07 17:00:10,Delivered,29740.00,2400.00,0.00,27340.00,CreditCard_Visa,Paid,Bangkok,Thailand,10200,2023-09-10,2023-09-09,NULL,SESS_ORD_064
ORD065,U00019,2023-09-08 09:20:00,Processing,4789.00,210.00,30.00,4609.00,BankTransfer_KBANK,Paid,Bangkok,Thailand,10310,2023-09-12,NULL,SAVEBIG,SESS_ORD_065
ORD066,U00029,2023-09-08 12:35:30,Delivered,2410.00,270.00,30.00,2170.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10400,2023-09-11,2023-09-10,NULL,SESS_ORD_066
ORD067,U00038,2023-09-09 15:50:55,Shipped,3900.00,650.00,50.00,3300.00,COD,Paid,Samut Sakhon,Thailand,74000,2023-09-14,NULL,AUTO10,SESS_ORD_067
ORD068,U00051,2023-09-09 18:00:00,Delivered,2880.00,290.00,30.00,2620.00,CreditCard_Visa,Paid,Manila,Philippines,1004,2023-09-15,2023-09-14,NULL,SESS_ORD_068
ORD069,U00069,2023-09-10 10:10:25,Processing,4899.00,370.00,0.00,4529.00,BankTransfer_KBANK,Paid,Bangkok,Thailand,10500,2023-09-14,NULL,FAMILYPACK,SESS_ORD_069
ORD070,U00095,2023-09-10 13:20:40,Delivered,6190.00,780.00,30.00,5440.00,EWallet_PromptPay,Paid,Pattaya,Thailand,20150,2023-09-14,2023-09-13,NULL,SESS_ORD_070
ORD071,U00002,2023-09-11 09:30:00,Delivered,1440.00,160.00,30.00,1310.00,CreditCard_Visa,Paid,Chiang Mai,Thailand,50000,2023-09-14,2023-09-13,NULL,SESS_ORD_071
ORD072,U00013,2023-09-11 15:00:00,Shipped,4390.00,650.00,0.00,3740.00,BankTransfer_KBANK,Paid,Pathum Thani,Thailand,12120,2023-09-15,NULL,NULL,SESS_ORD_072
ORD073,U00025,2023-09-12 10:15:00,Processing,5590.00,910.00,50.00,4730.00,EWallet_PromptPay,Paid,Rayong,Thailand,21000,2023-09-16,NULL,SPORTY100,SESS_ORD_073
ORD074,U00037,2023-09-12 16:45:00,Delivered,2598.00,70.00,30.00,2558.00,COD,Paid,Bangkok,Thailand,10240,2023-09-15,2023-09-14,NULL,SESS_ORD_074
ORD075,U00048,2023-09-13 11:20:00,Shipped,7370.00,1480.00,0.00,5890.00,CreditCard_Visa,Paid,Bangkok,Thailand,10110,2023-09-17,NULL,TRAVELSAVE50,SESS_ORD_075
ORD076,U00059,2023-09-13 17:00:00,Delivered,15190.00,2310.00,50.00,12930.00,BankTransfer_KBANK,Paid,Nonthaburi,Thailand,11120,2023-09-18,2023-09-17,KITCHEN10P,SESS_ORD_076
ORD077,U00068,2023-09-14 09:00:00,Processing,4280.00,670.00,30.00,3640.00,EWallet_PromptPay,Paid,Yangon,Myanmar,11011,2023-09-19,NULL,NULL,SESS_ORD_077
ORD078,U00077,2023-09-14 14:30:00,Delivered,27030.00,4320.00,0.00,22710.00,CreditCard_Visa,Paid,Chiang Mai,Thailand,50200,2023-09-18,2023-09-17,GADGETFEST,SESS_ORD_078
ORD079,U00085,2023-09-15 10:45:00,Shipped,1810.00,100.00,30.00,1740.00,COD,Paid,Chiang Mai,Thailand,50230,2023-09-20,NULL,NULL,SESS_ORD_079
ORD080,U00094,2023-09-15 15:15:00,Delivered,4270.00,410.00,50.00,3910.00,BankTransfer_KBANK,Paid,Cebu City,Philippines,6000,2023-09-21,2023-09-20,BEACH5,SESS_ORD_080
ORD081,U00001,2023-09-16 11:00:00,Processing,2120.00,270.00,0.00,1850.00,CreditCard_Visa,Paid,Bangkok,Thailand,10110,2023-09-19,NULL,FREESHIP,SESS_ORD_081
ORD082,U00010,2023-09-16 16:30:00,Delivered,4370.00,630.00,30.00,3770.00,EWallet_PromptPay,Paid,Nakhon Ratchasima,Thailand,30000,2023-09-20,2023-09-19,NULL,SESS_ORD_082
ORD083,U00020,2023-09-17 09:45:00,Shipped,7060.00,1140.00,50.00,5970.00,COD,Paid,Hat Yai,Thailand,90110,2023-09-22,NULL,AUDIO10,SESS_ORD_083
ORD084,U00031,2023-09-17 15:00:00,Delivered,3930.00,570.00,0.00,3360.00,BankTransfer_KBANK,Paid,Jakarta,Indonesia,10110,2023-09-22,2023-09-21,FASHIONDEAL5,SESS_ORD_084
ORD085,U00041,2023-09-18 10:00:00,Processing,9150.00,1550.00,30.00,7630.00,CreditCard_Visa,Paid,Chonburi,Thailand,20000,2023-09-21,NULL,NULL,SESS_ORD_085
ORD086,U00052,2023-09-18 17:30:00,Delivered,78560.00,7530.00,0.00,71030.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10120,2023-09-21,2023-09-20,TECHBONUS200,SESS_ORD_086
ORD087,U00063,2023-09-19 11:15:00,Shipped,2999.00,0.00,30.00,3029.00,COD,Paid,Khon Kaen,Thailand,40000,2023-09-23,NULL,NULL,SESS_ORD_087
ORD088,U00072,2023-09-19 16:00:00,Delivered,3720.00,430.00,50.00,3340.00,BankTransfer_KBANK,Paid,Kuala Lumpur,Malaysia,50000,2023-09-25,2023-09-24,MODEST10,SESS_ORD_088
ORD089,U00083,2023-09-20 09:30:00,Processing,8140.00,1560.00,0.00,6580.00,CreditCard_Visa,Paid,Hanoi,Vietnam,100000,2023-09-25,NULL,GADGETSALE100,SESS_ORD_089
ORD090,U00099,2023-09-20 14:45:00,Delivered,2600.00,280.00,30.00,2350.00,EWallet_PromptPay,Paid,Bangkok,Thailand,10110,2023-09-23,2023-09-22,BEAUTYSAVE,SESS_ORD_090
