review_id,user_id,product_id,review_rating,review_text,review_timestamp,review_upvotes,review_downvotes
REV014,U00033,P00033,4,"กันแดดใช้ดีค่ะ คุมมันได้ระดับนึง แต่หลอดเล็กไปหน่อย",2023-07-20 11:50:00,6,0
REV015,U00001,P00008,5,"ใช้เซรั่ม GlowUp มา 2 อาทิตย์แล้วค่ะ รอยสิวจางลงจริง ผิวหน้าใสขึ้นเยอะเลย",2023-07-20 14:30:00,19,0
REV016,U00019,P00016,4,"ลิปสติก LuxeLips สีสวยค่ะ แต่ไม่ค่อยติดทนเท่าไหร่ ต้องเติมบ่อย",2023-07-23 10:00:00,9,1
REV017,U00007,P00046,5,"โปรตีน NutriPro รสช็อกโกแลตอร่อยดีครับ ละลายง่าย ช่วยฟื้นฟูกล้ามเนื้อได้ดี",2023-07-25 08:30:00,11,0
REV018,U00029,P00022,4,"อายแชโดว์ GlamArt สีสวย ติดทนดีค่ะ แต่แปรงที่ให้มาเล็กไปหน่อย",2023-07-29 12:00:00,7,0
REV019,U00001,P00040,3,"ไดร์เป่าผม SalonStyle ลมแรงดีค่ะ แต่เสียงดังไปนิดนึง",2023-08-05 10:00:00,4,2
REV020,U00030,P00036,5,"Action Camera GoCapture แจ๋วมากครับ กันน้ำได้จริง ภาพชัดทั้งใต้น้ำและบนบก",2023-08-07 15:00:00,16,0
REV021,U00052,P00001,2,"ผิดหวังกับ Nova Smartphone X20 ครับ เครื่องร้อนง่าย แบตหมดเร็ว ไม่เหมือนที่โฆษณา",2023-08-09 11:20:00,2,10
REV022,U00069,P00047,5,"บ้านแมว KittyHaven ประกอบง่าย น้องแมวชอบมากค่ะ เข้าไปนอนเล่นทั้งวันเลย",2023-08-09 17:00:00,13,0
REV023,U00007,P00039,5,"หนังสือ Sapiens ควรอ่านครับ เปิดโลกทัศน์มากๆ เนื้อหาดี แปลดี",2023-08-10 09:30:00,28,0
REV024,U00041,P00041,4,"หลอดไฟ GlowSmart เปลี่ยนสีได้เยอะดี ควบคุมผ่านแอพสะดวก แต่บางทีเชื่อมต่อยาก",2023-08-13 14:00:00,6,1
REV025,U00003,P00007,4,"ชุดกระทะ KitchenPro ใช้ดีครับ ไม่ติดกระทะ ล้างง่าย แต่ด้ามจับร้อนเร็วนิดนึง",2023-08-15 10:15:00,9,0
REV026,U00019,P00009,4,"เพิ่งอ่าน 'The Midnight Library' จบ ชอบคอนเซ็ปต์เรื่องมาก แต่ตอนจบน่าจะขยี้กว่านี้อีกนิด",2023-08-15 18:00:00,10,1
REV027,U00001,P00034,5,"สมุดบันทึก WriteWell ปกสวย กระดาษดี เขียนลื่นมากค่ะ",2023-08-18 11:00:00,11,0
REV028,U00029,P00017,2,"เก้าอี้ ErgoSeat นั่งไม่สบายเหมือนที่คิด ปรับเอนได้น้อย วัสดุดูไม่ค่อยแข็งแรง",2023-08-20 12:45:00,3,7
REV029,U00099,P00016,5,"ลิปสติกสี Velvet Red สวยมากค่ะ ทาแล้วขับผิวสุดๆ เนื้อดี ไม่แห้ง",2023-08-21 16:00:00,15,0
REV030,U00014,P00014,5,"กระบอกน้ำ HydroFlasky เก็บความเย็นได้นานจริง ชอบมากครับ พกพาสะดวก",2023-08-23 09:00:00,17,0
REV031,U00036,P00013,4,"ชุดตัวต่อ PlayLearn ลูกชายชอบมากค่ะ ต่อสนุก สีสันสดใส แต่บางชิ้นหลวมไปหน่อย",2023-08-25 14:20:00,8,0
REV032,U00051,P00045,3,"กาต้มน้ำ QuickBoil ร้อนเร็วจริง แต่เสียงดังไปหน่อยตอนน้ำเดือด",2023-08-26 10:50:00,5,2
REV033,U00069,P00019,4,"อาหารสุนัข PawsomeEats สูตรนี้โอเคเลยค่ะ น้องหมากินได้ปกติ แต่ยังไม่เห็นความเปลี่ยนแปลงเรื่องขนเท่าไหร่",2023-08-26 17:00:00,4,1
REV034,U00001,P00010,5,"เสื่อโยคะ ZenFit หนึบดีมากค่ะ ไม่ลื่นเลย ออกกำลังกายมั่นใจขึ้นเยอะ",2023-08-27 09:30:00,12,0
REV035,U00020,P00018,4,"ลำโพง BeatBox เสียงดีเกินตัวครับ พกพาง่าย แต่แบตน่าจะอึดกว่านี้อีกนิด",2023-08-28 11:00:00,9,0
REV036,U00041,P00020,5,"ซื้อ Instant Pot เป็นเครื่องที่สองแล้วครับ ติดใจมาก ทำกับข้าวสนุกขึ้นเยอะ ประหยัดเวลาด้วย",2023-08-29 15:15:00,22,0
REV037,U00077,P00036,4,"กล้อง GoCapture ภาพคมชัดดีครับ กันสั่นใช้ได้ แต่เมนูซับซ้อนไปหน่อยสำหรับมือใหม่",2023-08-30 10:00:00,7,1
REV038,U00003,P00003,4,"กาแฟ BeanSupreme รสชาติดีครับ แต่รอบนี้เหมือนคั่วเข้มไปนิดนึง",2023-08-16 09:00:00,6,0
REV039,U00007,P00011,3,"หูฟัง SoundWave ใช้มาสักพักเริ่มมีเสียงซ่าๆ ไม่รู้เป็นที่อะไร",2023-08-10 14:00:00,2,4
REV040,U00029,P00008,5,"เซรั่มตัวนี้ดีจริงค่ะ ใช้หมดไปหลายขวดแล้ว ผิวดีขึ้นมาก แนะนำเพื่อนไปหลายคนแล้วค่ะ",2023-08-20 19:00:00,20,0
REV041,U00001,P00002,4,"เสื้อตัวนี้ใส่บ่อยมากค่ะ ซักหลายครั้งสีก็ยังสดอยู่ ชอบค่ะ",2023-09-01 10:00:00,10,0
REV042,U00019,P00008,2,"ไม่ค่อยเห็นผลเลยค่ะ ใช้มาเกือบหมดขวดแล้ว รอยสิวก็ยังเหมือนเดิม",2023-09-02 11:00:00,1,5
REV043,U00041,P00008,4,"แฟนใช้แล้วบอกว่าดีค่ะ ผิวดูใสขึ้น ส่วนตัวยังไม่ได้ลอง",2023-09-03 12:00:00,5,0
REV044,U00058,P00011,5,"หูฟังรุ่นนี้ดีไซน์สวย เสียงดีเกินราคาครับ ชอบมาก",2023-08-15 09:30:00,18,0
REV045,U00069,P00019,5,"อาหารสุนัขยี่ห้อนี้ดีที่สุดเท่าที่เคยลองมาค่ะ น้องหมาสุขภาพดี อึเป็นก้อนสวย",2023-08-15 14:00:00,14,0
review_id,user_id,product_id,review_rating,review_text,review_timestamp,review_upvotes,review_downvotes
REV046,U00012,P00013,2,"ตัวต่อบางชิ้นหลวมมากค่ะ ต่อแล้วหลุดง่าย ลูกเล่นได้ไม่สนุกเลย ผิดหวังกับ PlayLearn",2023-08-11 10:00:00,2,8
REV047,U00025,P00025,1,"Fitness Tracker FitLife แย่มากครับ วัด Heart rate ไม่ตรงเลย ชาร์จแบตก็เข้าช้ามาก ไม่แนะนำ",2023-08-12 11:30:00,1,15
REV048,U00030,P00036,2,"กล้อง GoCapture คุณภาพวิดีโอไม่สมราคาเลยครับ ภาพแตกๆ เวลาแสงน้อย สู้ยี่ห้ออื่นไม่ได้",2023-08-08 09:00:00,3,7
REV049,U00044,P00028,2,"ผ้าพันคอ EleganceSilk สีไม่เหมือนในรูปเลยค่ะ ในรูปดูสดใสกว่านี้ ของจริงสีหมองๆ",2023-07-20 14:15:00,1,4
REV050,U00055,P00024,1,"เกม Settlers of Catan กล่องบุบมาเลยครับ เหมือนของเก่าเก็บ ไม่มีการห่อกันกระแทกที่ดีพอ เสียความรู้สึก",2023-07-22 16:45:00,0,9
REV051,U00062,P00026,2,"ชุดเครื่องมือทำสวน GreenThumb ใช้ได้ไม่กี่ครั้งก็เริ่มขึ้นสนิมแล้วครับ ไม่ทนทานเลย",2023-07-24 10:20:00,2,6
REV052,U00070,P00023,3,"เมาส์ ClickTech ก็พอใช้ได้ครับ แต่คลิกเสียงดังไปหน่อย แล้วก็กินถ่านเร็ว",2023-08-17 13:00:00,4,2
REV053,U00088,P00031,2,"กระเป๋า AdventurePro ช่องเยอะดี แต่ซิปแตกง่ายมากครับ ใช้ไปทริปเดียวซิปพังแล้ว",2023-08-19 15:00:00,1,11
REV054,U00099,P00016,1,"ลิปสติก LuxeLips สี Velvet Red ทาแล้วปากแห้งมากค่ะ เป็นคราบด้วย ไม่เหมือนที่รีวิวเลย แย่มาก",2023-08-23 11:30:00,0,12
REV055,U00015,P00005,2,"เดรส BellaStyle ทรงสวยแต่ผ้าบางมากค่ะ ต้องใส่ซับในอีกชั้น ไม่งั้นโป๊",2023-07-29 10:00:00,3,5
REV056,U00029,P00045,2,"กาต้มน้ำ QuickBoil มีกลิ่นพลาสติกไหม้ๆ ตอนต้มน้ำครั้งแรกๆ ไม่ค่อยโอเคเลย",2023-08-19 09:10:00,2,7
REV057,U00007,P00004,2,"Smart TV VisionMax ภาพสวยจริง แต่ระบบ Smart TV ช้ามากครับ กดเปลี่ยนแอพทีรอนานเลย",2023-07-07 16:00:00,5,9
REV058,U00019,P00021,3,"ยีนส์ DenimPro ทรงสวยดีครับ แต่สีตกเยอะมากตอนซักครั้งแรก",2023-07-20 10:40:00,6,1
REV059,U00033,P00014,1,"กระบอกน้ำ HydroFlasky เก็บความเย็นไม่ได้นานเลยครับ ไม่ถึงครึ่งวันน้ำแข็งก็ละลายหมดแล้ว ผิดหวัง",2023-07-19 13:00:00,1,10
REV060,U00051,P00008,1,"ใช้เซรั่ม GlowUp แล้วแพ้ค่ะ สิวเห่อเต็มหน้าเลย ไม่เหมาะกับผิวแพ้ง่ายอย่างแรง",2023-07-14 15:00:00,0,18
REV061,U00069,P00030,2,"ชุดนอน DreamyWear ลายไดโนเสาร์น่ารักดี แต่ผ้าแข็งไปหน่อย ลูกไม่ค่อยชอบใส่",2023-08-10 11:00:00,2,3
REV062,U00001,P00011,2,"หูฟัง SoundWave ใช้ไปได้เดือนเดียว ข้างนึงเสียงไม่ออกแล้วครับ คุณภาพไม่สมราคาเลย",2023-08-03 17:00:00,3,13
REV063,U00012,P00048,3,"ตาชั่ง AccuWeigh ตัวเลขกระโดดไปมา ไม่ค่อยเสถียร ต้องชั่งซ้ำหลายรอบ",2023-08-15 09:20:00,4,1
REV064,U00022,P00025,2,"Fitness Tracker FitLife สายรัดขาดง่ายมากครับ ใช้ไม่ถึงสองอาทิตย์ก็เปื่อยแล้ว",2023-07-19 14:00:00,1,6
REV065,U00041,P00027,1,"เครื่องฟอกอากาศ PureAir เสียงดังมากครับ เปิดนอนไม่ได้เลย แล้วก็ไม่รู้สึกว่าอากาศดีขึ้นเท่าไหร่",2023-08-10 10:30:00,2,14
REV066,U00052,P00049,2,"คีย์บอร์ด TypeEase ปุ่มแข็งมาก พิมพ์ไม่ถนัดเลยครับ เมาส์ที่มาด้วยกันก็ตัวเล็กไป",2023-08-05 12:00:00,3,5
REV067,U00078,P00015,2,"กระเป๋าสตางค์ GentlemenCo หนังแข็งโป๊กเลยครับ ใส่บัตรได้น้อยด้วย ไม่ค่อยประทับใจ",2023-07-23 09:00:00,2,4
REV068,U00091,P00031,1,"สั่งกระเป๋า AdventurePro สีดำ ได้สีเทามาเฉยเลยครับ ทางร้านไม่ตรวจสอบของก่อนส่งเหรอ",2023-07-25 11:45:00,0,10
REV069,U00003,P00039,2,"หนังสือ Sapiens เนื้อหาดี แต่การจัดหน้ากระดาษกับตัวอักษรทำให้อ่านยากไปหน่อยครับ ปวดตา",2023-07-15 10:00:00,7,3
REV070,U00014,P00032,3,"ชาเขียว TeaTime รสชาติจืดไปหน่อยครับ ไม่ค่อยหอมเหมือนที่คิดไว้",2023-08-20 16:00:00,3,1
REV071,U00020,P00043,1,"ที่วางโทรศัพท์ DriveSafe ในรถ ติดไม่อยู่เลยครับ ขับๆไปหล่นตลอด อันตรายมาก",2023-08-25 09:00:00,0,16
REV072,U00036,P00042,2,"Puzzle PuzzleWorld ภาพสวยดี แต่ชิ้นส่วนบางชิ้นตัดไม่ค่อยดี ต่อเข้ากันยาก",2023-08-20 14:50:00,2,3
REV073,U00044,P00002,1,"เสื้อ EveryWear สั่งไซส์ M ได้ไซส์ L มาเฉยเลยครับ ติดต่อร้านก็ตอบช้ามาก บริการไม่ดี",2023-07-18 11:00:00,1,8
REV074,U00055,P00003,2,"กาแฟ BeanSupreme รอบนี้ได้ของเก่ามาหรือเปล่าครับ กลิ่นไม่หอมเหมือนเคยเลย รสชาติก็แปลกๆ",2023-07-24 13:30:00,2,5
REV075,U00069,P00047,1,"บ้านแมว KittyHaven วัสดุไม่แข็งแรงเลยค่ะ น้องแมวหนัก 5 โล กระโดดขึ้นไปทีโยกเยกจะพัง เสียดายเงิน",2023-08-11 10:10:00,1,12
REV076,U00007,P00017,1,"เก้าอี้ ErgoSeat ประกอบยากมากครับ คู่มือก็ไม่ชัดเจน นั่งแล้วปวดหลังกว่าเดิมอีก",2023-07-22 15:00:00,2,11
REV077,U00011,P00020,2,"Instant Pot ใช้แล้วมีไอน้ำรั่วออกมาตรงขอบฝาตลอดเลยครับ ไม่กล้าใช้ต่อ กลัวระเบิด",2023-07-13 10:00:00,3,9
REV078,U00019,P00040,1,"ไดร์เป่าผม SalonStyle ใช้ได้สองครั้งก็พังแล้วครับ เปิดไม่ติดเลย คุณภาพแย่มาก",2023-08-17 11:20:00,0,13
REV079,U00025,P00038,3,"ชุดยางยืด FlexFit ก็โอเคครับ แต่เส้นสีเหลือง (เบาสุด) ขาดง่ายไปหน่อย",2023-08-14 09:00:00,5,1
REV080,U00030,P00037,2,"ผ้าห่ม CozyHome ขนหลุดเยอะมากครับ ซักแล้วก็ยังหลุด ติดเสื้อผ้าเต็มไปหมด",2023-08-10 14:30:00,2,6
REV081,U00051,P00002,2,"สั่งเสื้อสีฟ้า ได้สีน้ำเงินเข้มมาแทนค่ะ ทักแชทไปร้านก็ไม่ค่อยตอบ",2023-07-16 10:00:00,1,4
REV082,U00058,P00041,1,"หลอดไฟ GlowSmart ใช้กับแอพไม่ได้เลยครับ พยายามเชื่อมต่อหลายรอบแล้วก็ไม่สำเร็จ",2023-08-14 16:00:00,0,10
REV083,U00070,P00048,2,"ตาชั่ง AccuWeigh ไม่แม่นยำเลยครับ ลองชั่งของเดิมซ้ำๆ ได้น้ำหนักไม่เท่ากันสักครั้ง",2023-08-19 11:15:00,2,5
REV084,U00088,P00050,3,"ผ้าเช็ดตัว AquaDry ก็แห้งเร็วจริงครับ แต่ผืนเล็กและบางกว่าที่คิดไว้เยอะ",2023-08-15 10:00:00,4,1
REV085,U00099,P00022,1,"อายแชโดว์ GlamArt สีในตลับสวยมาก แต่พอทาที่เปลือกตาแล้วสีไม่ชัดเลยค่ะ ต้องทาซ้ำหลายรอบมาก",2023-08-25 13:00:00,1,9
REV086,U00012,P00009,2,"หนังสือ 'The Midnight Library' ปกยับมาเลยค่ะ เหมือนโดนของหนักทับมา ไม่โอเคกับการแพ็คของเลย",2023-08-13 15:00:00,3,6
REV087,U00022,P00001,2,"Nova Smartphone X20 เครื่องค้างบ่อยมากครับ เล่นๆ อยู่ก็ดับไปเฉยเลย เสียอารมณ์สุดๆ",2023-07-21 10:45:00,2,12
REV088,U00033,P00034,1,"สมุด WriteWell กระดาษบางมากค่ะ เขียนแล้วหมึกซึมไปอีกหน้าเลย ใช้ไม่ได้จริง",2023-07-25 17:00:00,0,8
REV089,U00044,P00035,2,"เข็มขัด StyleCraft หนังแตกง่ายครับ ใช้ไม่ถึงเดือนก็เริ่มลอกแล้ว ไม่ทนเลย",2023-07-20 09:30:00,2,4
REV090,U00052,P00006,1,"Gaming Laptop CyberPower สเปคดีแต่เครื่องร้อนเร็วมากครับ เล่นเกมแป๊บเดียวพัดลมดังสนั่นเลย กลัวเครื่องพัง",2023-08-05 11:00:00,3,17
REV091,U00001,P00026,1,"สั่งชุดทำสวน GreenThumb ได้ของไม่ครบค่ะ ขาดพลั่วเล็กไปอันนึง ติดต่อร้านก็ยังไม่ตอบกลับ",2023-09-02 14:00:00,0,7
REV092,U00015,P00033,2,"กันแดด SunSafe ทาแล้วหน้ามันเยิ้มเลยค่ะ ไม่คุมมันเหมือนที่บอกไว้เลย",2023-07-30 10:30:00,2,5
REV093,U00029,P00007,1,"กระทะ KitchenPro ใช้ครั้งแรกก็ไหม้แล้วค่ะ ล้างไม่ออกเลย แย่มาก ไม่แนะนำ",2023-08-22 12:00:00,1,14
REV094,U00062,P00046,2,"โปรตีน NutriPro รสช็อกโกแลตหวานไปมากครับ กินแล้วเลี่ยน ไม่ค่อยชอบ",2023-07-28 09:45:00,3,4
REV095,U00078,P00028,1,"ผ้าพันคอ EleganceSilk ได้ของผิดลายค่ะ สั่งลายดอกไม้ได้ลายทางมาเฉยเลย",2023-07-24 15:30:00,0,6
